501-96-9838,Deborah,Reyes,Female,Washington DC,24
772-99-2979,Brenda,Harvey,Female,England,38
490-88-5442,Robert,White,Male,"Chicago, IL",27
783-33-0794,Scott,Mason,Male,"Hanna, Alberta, Canada",35
533-78-7723,Kelly,Williams,Female,Nashville / Los Angeles,28
221-92-6970,Daniel,Hawkins,Male,"Mt. Vernon, NY",31
357-57-8082,Lisa,Hunter,Female,"Long Beach, California",40
777-02-8637,Brandon,Moreno,Male,"Orange, CA",20
796-50-1267,Ashley,Wood,Female,"Port Arthur, TX",33
132-71-9654,Katherine,Brooks,Female,"Melbourne, Australia",29
321-51-8976,Mary,Campbell,Female,"Chicago, IL",17
789-58-4833,Brenda,Cruz,Female,"Chicago, IL",37
917-85-9715,Mary,Ward,Female,Chicago,34
314-67-7083,Karen,Hanson,Female,"London, England",17
351-32-4379,Jean,Diaz,Female,"London, England",28
936-53-2000,Emily,Bryant,Female,"Ukiah, CA",18
806-93-3768,Howard,Washington,Male,"Newton-le-Willows, Merseyside, England",16
530-52-7678,Tina,Rose,Female,"Orange, CA",25
286-29-9521,Amanda,Torres,Female,"London, England",35
233-80-9231,Joyce,Evans,Female,"Los Angeles, CA",40
775-04-2956,Wayne,James,Male,Maine,28
848-22-5645,Anthony,Fernandez,Male,"Glasgow, Scotland",28
938-13-2677,Nancy,Daniels,Female,"Newcastle, England",14
943-14-8657,Julie,Mendoza,Female,Nashville / Los Angeles,24
638-75-5406,Robin,George,Female,"Kentwood, LA; Los Angeles, CA",39
877-56-0151,Karen,Lawson,Female,"Hanna, Alberta, Canada",24
185-74-3322,Betty,Cook,Female,"London, England",35
658-56-3454,Angela,Holmes,Female,"Braintree, Essex, England",18
367-03-1380,Rose,Thompson,Female,"Pasadena, CA",18
678-35-1890,Ashley,Robertson,Female,"Seattle, WA",37
606-20-0591,Martha,Sanchez,Female,"Burlington, Ontario, Canada",34
212-16-4770,Jerry,Robertson,Male,"Chiswick, London, England",16
296-32-7743,Katherine,Simmons,Female,"Ukiah, CA",35
395-63-7600,Larry,Stephens,Male,"Pasadena, CA",31
553-56-2746,Philip,Hunt,Male,Great Britain / UK,39
959-70-8293,Amy,Turner,Female,"Los Angeles, CA",30
934-15-1296,Jason,Cole,Male,"Denver, CO",36
317-06-2778,Gloria,Fernandez,Female,"Newcastle, England",31
995-41-1587,Lisa,Snyder,Female,"London, England",31
872-69-9619,Donna,Howard,Female,Alabama,37
815-57-4775,Sarah,Olson,Female,"London, England",37
701-00-5672,Joe,Collins,Male,"Antibes, France",22
510-98-3532,Jacqueline,Brown,Female,"Los Angeles, CA",18
770-85-4849,Theresa,Howell,Female,"Lund, Sweden",16
692-04-5957,Gerald,Marshall,Male,"Boston, MA",37
769-40-9635,Christopher,Butler,Male,"Wilmette, IL",39
338-24-5531,David,Taylor,Male,"Los Angeles, CA",22
592-34-1194,Scott,Bailey,Male,"Atlanta, GA",23
161-96-0731,Adam,Schmidt,Male,"Bay City, MI",20
239-54-7965,Jeffrey,Andrews,Male,"New York, NY",24
899-32-5413,Johnny,Lane,Male,US,39
